first_seg	second_seg
coach trestman is just what the dr ordered 4 my BEARS! We owe minny 4 that crappy loss 2 them	last yr. Let's Go Bears!
"I think you'd be lucky to get 5k, but even then what car would you get that's better than"	the one you have now?
Attention: All Mets fans send out tweets as much as possible 4 Cuban 1b Jose Abreu this	offseason 2 become a Met
and I know u see me & his daddy textin u u r wrong for tht shit I hope u r think in twice and I hope u	"know wht u r doin,,,"
Why Tf Would U Call Him Mf I Just Said He Didnt Put It	In Dere Dam Just stfu
andruz & kinsler r signed long term. I'll give u C Travis d'Arnaud & OF Cesar	Puello 4 SS Jurickson Profar.
"Today calls for relaxation, pampering, eating.. a lot.. And sleeping more"	than 3 hours a night
Aye My Girl My Girl she loves me. She hit me all the time my phone be	ringing of the hook like.
Watchu knoe bout stuffin bandz in a cerial box Tellin young'ns lemme know if they	see cops on the block
"HONESTLY,I REALLY DON'T GAF ABOUT WHAT YOU THINK OF THE MUSIC I LIKE....YEAH I GUESS IM LAME CAUSE ION"	REALLY LIKE 2 CHAINZ?? DAFUQ...
"Tuh the people that talk to me tha most, QUOTE THIS WITH THE"	FUNNIEST THING I'VE EVA SAID.
BITCH I HOPE THE FUCK U DO YOU'LL BE A DEAD SON OF AH BITCH	ILL TELL YEW DET!! LMFAOOOOOOOOOOOOOO
"Marriage isn't for you. You don?t marry to make yourself happy, you marry"	to make someone else happy.
I believe in the millions of possibilities in this world but pleasing	everybody isn't one of them
"Marriage isn?t for yourself, you?re marrying for a family. Not just for the in-laws and all of that nonsense,"	but for your future children.
"Ill do all day if I could, put a lumber jack on"	and give you the wood.
"People got 20/20 vision when it comes to YOUR problems, but be Ray"	"Charles to their own bullshit!"""
If another person say I look like Ceaser from Black Ink imma	smack the shit outta them
I swear yo if we get this ok on the bowl game shit gonna get real dark n scary fast for	whoever we play I promise!
"you see this .. ""hey mar my baby , I miss you"	 I miss you too.
Well I worked all summer couldn't save a cent. Gave all	my money to the government.
I don't got nun I just got something in the way	of me going up there
Didn't make it to Waffle House nor Ihop last night so I'm about	to make my own breakfast
"Somebody stole my jacket I'm scared to tell my mom "" ayoooo"	how you loose it ?
"I Woke Up In Some New Punani , He Woke Up"	Bleeding Like Who Shot Me!
I Forgot all About Ask.fm But Go Ask Me Stuff I just put The link Back	In my bio Soo Goo.
I'm thankful for all the celebs and non celebs I have interacted with over social media the past several years	u guys inspire me constantly
"Success is not measured by what you accomplish, but by the opposition you"	"have encountered, and the courage!"
"I don't trust easily, so when I tell you I trust yu, please"	don't make me regret it...
U have proved time and time again that you don't give a shit and you are too good to be over here so just say	the fuck where you st
Today I feel like oscar the grouch...looking for the nearest trashcan	to hide in till 5pm.
I think I saw the meteor too but I thought it	was a stunt from !
People really never seem to amaze me. I get so sick of people only hitting you	up when they need you
I swear college is useless I'm done wat that shit unless its free	and I'm talkin golf classes
ok I get off at 230 so ima come wash if	you don't have any plans
ERETHING on sale.. They bouta bumrush the doors I jus hope nobody	tries to steal anything smfh
Dum bitch jus said damn tyga been text Gucci earlier... You dum bitch tyga on the west	coast... Smfh I'm done yo
"hell yeah or he ain't gonna make out."" He goin kill"	himself if they corner him
Niggas a snitch on a niggaaa at work then somebody come snitch rite on them and den they	be sick ass shit lls
"Dam U Aite?? Thought U Hung Urself Afta Yesterday""boy ya lost to"	bitch ya some shit foreal
If u tryin sell a iPhone call ur community CARRYOUT they	will geek off that shit
All I see on ig is pictures with quotes talkin bout niggas this niggas dat I'm	bout done with that shit
Student loan ppl in my bushes so bad they got my first pair of shoes	in they rear view mirrors!!!
Can't drink cause I got a scrimmage tonite be cussing the kids out and and get the arguing wit	the dumbest coaching staff ever!!
I'm not rude if I call my boyfriend & wake him up cause he	will do it to me!
Don't play with me! & I played you at your own game	& you hate that Idgaf
I'm already knowing when I talk to him he got some	words for my little ass
I need to go wash I don't have a clue of what I'm putting on omfg I have too many damn clothes & always saying	I don't have any lies
Cause I didn't know he called & I don't have a miss call that tripping spazzing shit I'm not	for it tonight at all
I'm so use to being lonely it ain't funny but a learning lesson I need to be with ppl dat	want to be with me
"Good morning; we wish u all w wonderful Monday may God blessings, mercy, and grace be with u all.Holy Spirit go out b4"	us in Jesus name Amen
"Why we gotta steal my saying tho. ""Slow dancing is how you catch feelings"" I said that"	same exact thing last night
I didn't try to hold your hand g. I HELD that shit. Just like	how I grabbed that ass
Visit schools... you need to understand what is happening on the ground in	order to lead sustainable change.
Wow! Lilacs and champagne at metro.. One of the best shows i've seen. Jazz metal? And we	still have Grails to go!
"someone should make a website where they stream a go-pro camera that is attached to their cat, 24/7."	They would win the internet.
"Do you care? Do you love it? Your answers should be No and Yes, respectively,"	if you are Icona Pop.
Can't wait to open up my own store!! My boo be home soon and	we gonna get it together!!
Man it's hot as shit out here!! I see why I normally be sitting in my car and I'm 1	house away fr bus stop!!
I was warned long ago by your friends!!! Smh.... Yeah change soon!!! U trip cause you in your feelings	smh really who does that???!!!
Who wanna buy d tape of rocko running and guwop kickin him in ass. Wit my house shoes on lol.	"I want 250k"" I'm dead!!!"
"Then I got with Jazz, Bear and Lary and won chips in unlimited I was the man"	"as a pup"" FB huh"
Solid that tilapia looked all that I b hungry looking at	ya shit u gotta chill
Yall do know mogs doing cuffing season for they 10th year str8 is doing this	ALL THEE fuck wrong right?
Maybe I'm looking at Cuffing season all wrong tho...Maybe its suppose	to be a revolving door...
depends on how u meet me...I simply don't care about a lot of stuff most do...so it	"can come off as ""chill"""
Its crazy how common practice it is for ppl to exxagerate they heights...like 90	percent of ppl do it.
Every nigga den taught sumthing to a chick dat she took over to her new guy...u	deserve nothing from that tutoring...
"I don't think Ye is ghey, I think he just a"	immature lil nigga with talent...
"and be honest, do YOU like a guy that would be"	that passive and allow that?
"sorry sheem, im over 6 feet and I never had to jump thru"	hoops...I only dunk alley oops.
I hate u phathom degree having niggaz too! Why even speak on it? Shit I don't even know	where my degree is located!
Sooo a Church chick just asked me on train if I attend church...I just	moved seats away from her...
Iono how it happened...but Herion is now back on the scene in the	Chicago in a big way
U mogs with no experience expecting 6 figgaz outta school blow	me...who sell yall these dreams???
riding ya GF on handle bars on ya way to a date look more dum (couldn't	snag the pix in time)
Package Bossman...I think dat was the 90s he was in the Lou	and estl skating rinks lol
Yall bet not be giving ANY money to a mog with gray hair playing	on buckets next to road!
If anyone need a good furance installer for LOW fuck with me u	know I got it (info)
Imma speak on this perp that work at Lowes once I'm done	doing this grown up shit...
Maaan I ain't rocked a pair of wheat tims in hella...I	celebrate them coming back lol
I think 2014 will be the year of the Mistress by the way	women big up Oliva Pope...
Great show tonight! Do you think you can send the furniture back	with Dr. Phil? Those ottomans...
"haha I'm 23, its not forbidden to say for us. I remember kemba walker said it after the UCONN"	championship win. Surprised I was.
"Im jus attracted to rough ass niggahs mane ,ilove a niggah thats bout it but still kno"	how to treat his ole'lady
"They don't really want it with us, say they want it with us, they"	don't don't want it nigga
man you should hv told me so I can give you your 101	"class lol""lol I should of"
"Ihate everything about moving"" yesss me 2""the freakn worst"" it will b"	over b4 u no it
"109 hard ""yes gawd""how u get up there so fast"" I'm"	addicted and now I'm stuck
"If you know that you Betta then the new girl that he on, go head & tell em now u gonna"	miss me when I'm gone!!!
The thing that caught my eye is the same thing that	makes me Change my mind!
"Gettin my hair cut soon,,I need that contact,,.im ah need u to meet me in ya dm I"	"gotta ask u somethin"" kk"
I been in the cut getting this money up! I miss my favorite	twins.. Y'all still out bmore?!
I have so much hope in a person ! Reality check : they will NEVER change !!! I'm	not foolin with it !!!
"I have a problem, My phone keep shutting down by it's self what do I"	need to do..... HELP! PLEASE
wrd 2 the wise if u runnin a train on a jank dont evr B the nigga gettin head 1st cuz the head gone B wack cux	she gone B gettin dicked
So u gone tell me by me bring a gentlemen and the man my motha raised me 2	I payed for the pussy?
"Just finished watching sleepy hollow. Its scarey funny, and same time. Its like"	your on a rollercoaster ride.
Why does he make me so mad and then make me love him again? Is that the emotional roller coaster everyone sing	about? Excuse me but damn!!!!
Happy for the Jets. They are gonna need all the help	they can get this season.
Why is it always the GOP who wants to shutdown the gov? Cry babies! Sore losers. ACA is good	for many and the pocketbook.
Today was really good. I'm so happy to be alive and well. I'm really grateful for all the many things	he has done for me.!!!??
"My daughter washed the dishes for some cash. Once she got paid, she said ""i'm"	"rich and in getting richer""!"
If u can't afford to fill up ur gas tank at least once every 2	"wks, don't buy a SUV."
About to finish cooking on the grill and chill with my wife and	daughter and watch my birds
like you see code words and stuff they use to talk to they man or how	they hide who you are
Man if I have roommates I would make sure sex sounded like a murder scene forget being	respectful you gone hear that
"I wish I was on this show, I'm all about marvel and I'm one of the"	biggest nerds in Indianapolis xD
The only people I owe my loyalty to are those who	never made me questions theirs!!
I got three kids and I told them we gonna make it out the Hood and I rather die before	I take my words back
Take me for who I am if you don't like it	"suck my dick...."" Well damn"
"These Vegas stories wild as fcuk!!! ""She say she was dipping chicken"	fingers in ranch buttaball NAKED!
Oh well Sneaker Con was dope.... Now LOOK LOUNGE is where u	all need to be 2nite.
Imma be gettin hella sex dis wk since Govt workers aint got no jobs. Feel like a	18yr old on Fall Break!
"I AINT REALLY REALLY TRIPPIN.IM JUSS GON WATCH N SEE HOW DIS SPANDS OUT (SITS BACK,KICKS FEET"	"UP,N PUTS HANDS BEHIND HEAD)"
"My lil freestyle: u ah ok rapper,but i aint snitchin U JUSS MADE DAT MAH HAIR"	LOOK BETTA DEN YA BITCHES.
Ooohhh snap!!! I aint goin tmr cause i gotta go tuh da	eye doctor (dances like Carlton)
meek mill rap like he came home n saw all his shit	on da porch JSJSKSKSKSKSJJDDHH LMFAOOOOOOOOOOOO
"AND SOME OF THA MOST UGLIEST BITCHES/NIGGAZ I EVA SAW IN MAH LIFE WAS LIGHT SKINNED.SO STFU WIT ALL DAT ""DARK"	"SKINNED PPL IS UGLY"" SHIT."
"Wanna get blocked? Reply to my tweet wit a mixtape, song,or a video. I WILL FVCKIN JUMP THROUGH"	DIS SCREEN ON YO ASS.
"kay next time i go tuh a m&g, IM HANDIN DAT"	NIGGA A BOTTLE OF LOTION.
Parents: lemme check yo twitter. Me: ok juss give me a minute	-logs out and deletes app-
lmaooo i been tryin fah like 3 months for him tuh see it but he neva noticed	it.so i juss stopped trying
MEEK MILL RAP LIKE HE JUST RAN FROM THE COPS AND HE EXPLAINING	"WHAT JUST HAPPENED"" ahhh lmfaoo"
MEEK MILL RAP LIKE SOMEBODY ATE HIS LEFTOVER FOOD IN THE FRIDGE BUT THEY ALL	"SAYING THEY AIN'T DO IT"""
MEEK MILL RAP LIKE SOMEBODY KEEP CUTTING HIM OFF IN THE	"MIDDLE OF HIS SENTENCE"" CTFUUUUUUUUU"
aye ik yall niggaz heard dat pop dat dont stop song by	frenchy Montana WATCHU TWERKIN WIDDDD
so you can ignore me and go with the same people? lemme	"spare my own feelings """
Hope tomorrow hurry up and gets here. Can't eat or drink after midnight	is going to kill me.
I'm just wondering why you do have a Kentucky blue bike. They didn't	have a red one. Lol
Just lost respect for dicky v calling Arian foster a prostitute	bad choice of words vitale
not sure if he smoking he denied it! But crack don't care who smokes it people have	saw the affects for years
yea it's super sad especially when I see cats who use to sell it smoking man	where did you go wrong
Wondering what in the heck am i doing? What directions i need to take . Ready for God	to reveal somethings to me.
"i didnt ask 7 i figured she wasnt interested, but i text 9 and she may have"	to work. She travels alot.
Good morning. It's to early to be playin games like I'm a grown ass man to be dealin with lil ass kid shit so	on that note swerve bitch
Think I'm coming down with the flu. I hope I don't	end up in someone's ER
I swear... All I do is fuckin work. I would kill	to have one Saturday off.!!!!!
"I mean, you try to fuck ANY niccas girl but if a nicca like to many of your girls"	status updates you get upset...
yea but not against bama and Nick saban. Saban my dude. He the type of coach who say	play ball fuck everything else.
Idgaf wat a bitch or a nigga thank n fuck allat bs	talkin kuz ya breff stank
Yesterday I would have saw 2 boxes but 2 days I saw the 2	eyes stepping my game up
I so need a monster combination in my life! Focus on those	bands that make u dance
I love u but if this shit wins the oscar u will thank me ... Cause u know the the weirder the movie the	more likely it will win
I never liked Gucci. now everybody sees the royal flop ness monster! He been weak. It shouldn't have taken his breakdown	for it 2 b known
"Missed out on my whole lil ""break"" cause this broad grown ass in here sharpening"	pencils like it's her job
I miss hanging out with my boyfriend when its all fun no arguments or nothing the times	I cherish the most sometimes!!!
Then off to my friend house I got some beer I'm about to	drink till I pass out..
When I went to LA it was 8 blocks of homeless people and Beverley	Hills was a block down..smh
My hair is bogus the gym really took its toll on	it..it's sweated the fuck out
Im about to do something big for Hip Hop in 2014. Just remember.	DAY OF DESTRUCTION!!!! Game Over.
"I CELEBRATED 1 YEAR OF SOBRIETY ON SEPT 3. ON OCT 6, I'M GIVING BACK.. STAY TUNED FOR"	DETAILS. I UNDERSTAND THE STRUGGLE!!!
A lot of the old school rappers are straight assholes. I would say names but why should I give	them any shine???? Fuckin idiots!!
I hat when a bitch txt me an ask me when I'm cme see her and I say u tel me and she say idk bitch why df u txt me for	hoe fuck my whole day
It kill me when hoe tryin play da Niggah job and da Relationship an her job at da same time ..lol	no her Niggah a bitch
It crazy why ppl say that gt sme good but 2week later tht fuckin that friend yea she a hoe Dnt kiss	her cuz that a hoe
Bitches be claiming they holding they nigga down but while he not around fucking anything	"in sight we see y'all"""
went to sleep at 10 now I'm up but I'm about to	force myself back to sleep
ok ill go today do I have to use it before I style my hair or can I	put it on it now
This show is all about what you talked about with another bitch at another	restaurant or park. The fuck
World war z was good. Didn't think it would end the way it did but it's getting me amped	up for The walking dead
I really need a vacation. I haven't been to the beach	at all this summer wtf
- Misa always been FLY!!! Ahead of her Time- she created Ghetto Fabulous	#NAME?
"yes!!! Thats a very touching song, it gives me chills errytime I hear it. I know big bruh smilin"	down on u:-) RIP Mel
"Dez hoes fo anyone n they know it, it's just dez lames niggas who don't see, dez hoes some hood rats n they it, I"	know exactly where they be
THIS herd 2 kids was living that yolo life at electric zoo. yall better	do like bran nubian and
"dude wtf lol IF YOU FUCK IN CHURCH YOU DONT NEED A RUBBA ,"	"YOUR COVERED BY THE BLOOD"""
don't discriminate on us little folks Ppl under 5'5 are shifty. Got to keep an eye on them	"when they are around me."""
Im playing fantasy football with my job.. and I got the raven defense and ray	rice? I'm getting points.. yesss!!
I was in health/gym when they took the towers out and my principal got on the intercom and	gave a speech about terrorism
I be in the gym getting it in man.. When its all said and done twitter n instagram just gonna have to let	me flourish in my nakedness
Talk to my student today about GTAV and I must say his description regarding interacting with the game has	me wanting to play it
"I just read the funniest description of Chief keef ""Keef, who has a mop top of noodling dreadlocks that hang"	past his eyes shaggy-dog style
Lmao bears fans harassed tony d on twitter like nigga get	your mind right and believe
So how many of you culture snob niggas gonna change your opinion about Yeezus after	seeing that interview now huh?
hopefully its just the quality that threw me off but he also should have waited until next year esp after	the dope ness of 1
European wine just taste diff man? I was over there a month and a half and drank daily at random and never	had any bad tasting wine
It totally threw me for a loophole when it came to what	I thought was my preference
Straight cooln.....in relax mode....this cd is the truth......you got down on this one....... I love	kmichelle cause she so real
"Rip Antonio I miss you, that shit crazy how you left so soon,"	save me a spot ?
Showing of for twitter tht sht bigg dead cuh yu gone be feeling some type of way when I say Im done	wth yo goofy asssz .!
I have an idea..they accept the $3m deal and just give me	the $500k they disagree on
What If I Tell U That I Love U But I Got Otha Dudes . && When Im Not With U Im	With My Otha MOVES .
Going through old DM and shit on twitter thinking to myself I was	a freak lol back then
"My favorite songs from Dreamgirls are Move, We Are A Family, I"	"Am Changing, Patience, and Dreamgirls."
I wish I had more hands so I could give all these	football posts more thumbs downnn
What the deuce. .. I hate the smell of spray tan...	this shit gots ta go.
Lucky I ain't have to grow there I would only go there cuz it's	niggas that I know there
I Wanna A Sew In Now.. So I Can Flip And	Swerve Ahaha Im Funny Af
Goin to schnucks to gt every flavor 32oz power-aid 2/$1 lol judge me	..but u probably want one
Feeling dwn ..but this chocolate cupcake is gona make me smile :) lol judge	me all u want !
Dude plz dnt say anything ignorant to me ..ur the one who looks silly smh I cant live in	peace in the world lol
I can't believe that the Bravo network didn't bleep finger when he flipped Madison the	bird on that photo taken.
be sure to bring it by the crib 1 day during the week so I can	be the only 1 here
Some of you or all of you might not read this but my dream is to make it within the pros and hopefully with	me live streaming it'll help
Statistic show that 99/ 100 men who text back K get	friend zone by a woman
Why does my last day of work before vacation have to be so damn stressful im going to need a good	as massage after thid day...
"Confession Thursdays: if ur ass had a 100 bill in it, could I give you change"	to go wit it lol
man Turn Up.. dm who you gotta to be non angry..that shit	causes gray hairs and wrinkles
going to Charlotte for the day Saturday. But ill be here tonight. I need	to find something to do
"Aww, look at me trying to stay loyal asf & Niggas"	keep talking to me !!
"Music stimulates your brain's frontal lobe, increasing your attention span & ability to"	process explains alot about peers
I need a big bottle of patron. And a bag of	limes... Ill be all set
Sometimes a person don't know a good thing even if it was to	slap them in the face!
Miley Cyrus is campaigning for that black card and that line from Jay was	a boost to her ego.
Some people in this world hate others for no reason that's	why I say fuck em
I hate when my nigga spend the night I'm always no sleep game dating fat	niggas Tuh damn stop snoring
Ok enough of this jay z .. Let me play this new	juicy j track real quick
"If Zimmerman walks, black people will be mad 2 days then will forget all about it."	Fake ass civil rights activist
I am not about to let the past repeat itself..... ugh the Shit	I have to go through...
"I Don't Care Bout Nothing But Me And My Money, We Never Breaking Up. It's Team US. No One"	Will Ever Come Between US.
"Then they want u to b committed""same thing with these young boys though"	but they lie about it
Pitt defense is trash. Not taking anything away from Winston but hell I prolly	could throw on they defense
"and lame as fuck! Except Leroy, u can tell he a real nigga,"	even CT wants no problems
two Wands max 3 if u on good behavior I will be carrying all cash and	cards for both ... Lol
"I see y'all tryin to get blazed !!!but y'all ain't even try to offer nobody none,the saying is ""puff puff give"	MOTHER***** and get high !!
Ughhhhhh I wanna go to my bestfwenddd funeral but I don't have no way... Sleep Tight See you	soon or later: ( R.I.p
placing the blame on others other than looking in mirror is alil unhealthy...everyone	being wrong instead of self?
I got the biggest smile on my face because of you and all yo beautifulness just	being all beautiful and stuff.#saturdayromance
Chris Tucker might be on da buttas bc u cant still be funny for all	these yrs. He got tendencies.
Can't we all just get along?? There's enough room for everyone. I stay in my own lane. So why are	they still worried?? Never Ends
My lil vacay was much needed! My mind didn't run AS much...now	it's back to becoming a
But for real tho....if I find the nicca who brought Svedka to my crib	ima kick they ass out.
Leave me the f**ck alone thats what you better do..funerals stay on schedule.. I don't even care about the	"charges ,if they ain't federal!"
"I need a sugar daddy!"" they take good care of u """	that's Wht I hear! Shit
Why would you be screaming for your life and your armed and he's not...that	makes no sense to me
CBS I would hope that Big Bro would do everything in its power to get rid	of this RACIST AARYN girl.
the best one is her and her sister got the same baby daddy.	And aint een know it!
Nothing more disappointing than having the feeling of major shits. Running to bathroom. Covering seat and nothing but	loud ass gas comes out
"Sooo all the ppl that worked for Securitas been let go from CTA huh? Where all the ""bad"	"bitches"" gonna work now? Lol"
How You Got A Nigga Wit A Wheel But Ya Ass On The Broad Street Line Ya Pussy Must Not Be That	Good For A Car Ride
"I'm not sure the storyline will go that way, but who knows. There is always twists"	and turns on that show
Ppl without responsibility or don't have nothing to lose will pull u down	 try to anyway !!!
For the record Bruhz CAN'T HOOP! Also Techies are socially awkward. I have accepted both sterotypes altho	they don't apply 2 me
Like ya don't understand no matter how much bs we go through this	my straight nigga 4real 4real
I have heard some ppl (women) try to say a 3some was 2 guys and 1	gal...but ok cool...clear now sir.
I miss the early 2000's defenses and I want to see	them again. Should be nice.
"Relationships end because once they have you, they stop doing the things that it took to get"	you in the first place.true!
Think I'm bout to go order this 2 $20 with an	"appetizer just for myself"" greedy"
"U eva see a mog in a car and ur 1st thought is ""I hope dats his"	"baby momma whip""? No? Nvm"
Sustainability is sooo SEXY! Not a lifestyle but a way of	life for those with style.
Im ready to eat mean while im on a mission to find ppl who want to	be models for my hw
If u gone be my ole lady we RIDE R DIE them hoes cross you illl jump off an	hit one in the eye.
Lmaoooo !!! One day ima flame Jordan soo good ...he gon let me	off with it ..one day
Hi I'm dejhanae love 101it is so fun to be on tweet and tanks for all of it and	bey form dejhanae love 101
"Everytime I get Chinese, I like the first five bites then I"	wanna throw the rest away
"And you ""I cant wait till shit blows over so I can get back to jokes and bullshit..."" types are"	really irking my damm soul
"Don't invite me over your house if you don't have AC..""realshit ima"	stand yo ass up everytime
"lol. Lol,! Yu so silly ! You needs be picking some of"	these THOTS new weave !
Off work. Budweiser connect called with a bunch of free beer. I don't drink that shit anymore but	u can't beat free! Lol
"that's just my due date only 4% women have their babies on the actual due day,im just ready"	for him to be out
Confession Thursdays: I like sexy ankles and I can not lie. If you got ugly ones pleaae do not apply	Lmao. *song in my head
"World of Tanks Xbox360 beta is alot of fun, but so far its much more simple then the PC.hopefully"	this just for the beta.
hey if ya talented u will always have a job in my eyes...or am I taking supply	and demand theory 2 far?
"EXACTLY my point!!! GZ himself said on the 911 tape ""he's running now"". TM was afraid & running away"	from GZ. Also GM told
These kids are picking up on my vibe I gotta find a	way to turn this around...
I feel so dead without my phone but finally got some music so	im managing time without it
"Got me like dam, where my homies Fuck it, it's jus"	me.. Can't hold me back
I just suddenly got the craving for chilli cheese fries after	seeing a picture on facebook
If I call ur phone how u dont answer but text were they do that	"at lls"" lol they busy"
Just booked deb for her charger I told her I was coming back down	here today yea aight lol
"kaman cant protect the rim tho, they should shoot for a younger big"	who main focus is defense.
I hear him in the background talkin I jus put a big ass cool	aid smile on my face
I Have Another 3 Bed Room House Brand New Everything Section 8	Ready Inbox If Your Interested!!
7venCity LIVE 4th of July Hookah Bash at Midnight Kings (318 N. Charles St) Powered by X105.1 Radio	- Ladies free before 11
This juror is pissing me off. She clearly sympathizes with the ignorant belief that	"all black people look ""suspicious""."
If someone tries to constantly break u dwn ..wat does tht mean !? U envy me or jealous ..ion boast nor	am I ignorant ..idk .....
What's up with this Mia girl? Is she a crack head? I need for them to reveal	that on the show ASAP
I would be you know how y'all act so good look or	you jut make it yourself
Fuk wit me wrong take me out my zone n ill nock the mutha fukin snow off of yo cone my niggas man it	stank in this bitch mus
"i want to know what is going on in the world, but all the news cares about is this"	baby. get over it already.
"Lmao I'm on a drought so the next nigga that I have sex with, WE GO TOGETHER cause I ain't"	"With the drought life """
Over this designer talk on my time line....you buying that shit off of a	crack head it's voided G.
It is not America's duty to intervene in other counties civil	wars. Obama needs to chill
yeah I kno So Jalen was doing the line to and I hope they dnt give yu nothin long hopefully they do	yu how they did Jewanna
Any OC that calls a running play up the middle on third and long	should not be coaching FB
Omw to My doc visit better have good news I can't	take no more bad news
Yet Again Didn't Do Shit For My Bday Man This Shit So Fuckin Crazy Everything I Wanna Do Mfers Can't Help Or Join In But	Fuck Yal I'm Good .
The point is 100$ is a big difference to a lot of people and many don't care	for kinect or want it.
Wheres the farmers market in Como? I need some fresh greens in my	"life.""u aint bout that life"
Good Morning. God's plan for your life far exceeds the circumstances	of your day. Be Blessed.
Man I remember my homeboy burst in an abandon house when	some crack heads were fucking.....
New haven strap hangers are rude an obnoxious. No one offers a pregnant woman a	seat on a train! Assholes.
People claim they want to work and need jobs but dont take the job when you	call them. So fuckin stupid
"Finally up from my nap, guess i will go hang with my moms until turn"	up time with my girlies
Eet yellow bone thank i call her honey mustard that damn lil	wayne crazy as a bih
I have tried it and while not the easiest thing I have done realized it can be so	looking forward to the challenge
I think I'm gonna go through my clothes again on Friday and see what I can sell.	I need room and space
If u love a girl just get her pregnant. She might not stop being a Hoe but at least she'll	"have to text u back"""
Want on the hubby to come back with the loud and finish the	washing and clean the house
Cuz it makes a differnt. If u think Like to spend money to take u out just because	I would need background info...
Would you walk away from 4yr-10.5m guaranteed overseas to play on a 1yr-1m contract in the NBA? Question	for my bros that hoop...
"Im tryna take this shit over next year.. I got a plan!"""	Aye Bro you still SSU
"Black ppl gotta have a cover charge, high ass drink prices, cover charge"	goes up every 5 minutes..
everywhere has them on preorder I've been trying to buy some for	the last month or two
Lmao mfs sayin Chief keef n GBE still at da bet	awards at the metal detectors
I see how they do it in the D feed you lobster ravioli then put you out to stay with granny..well granny	Joyce im on the way
At the end of the day a niggah will be a niggah and if you play with me i will show thats something you should know at	the end of the day
shut up you ain't trying to go. Tickets are too high	they are 500 right now.
Aye I'm mad at u putting me on this show and its only 1 season! U know I blow thru series like a	crack head thru insurance money!
This country is foolish when it comes to our justice system and morals! We care more about freaking animals more	the we do human beings!
I hate wen she say o wen i tell her i love her	like wtf who does dt
Blacks will trade drake to the whites if white girls stop saying yolo.	"Whites reply H.Y.F.R"" so wrong"
fa sho and I normally don't thats whats pissing me of more I think.. and thats	100. Appreciate it my dude
Lmfao I know the crowd like nigga please PLEASE don't stage dive	s/o to the remix !
It's only led me to complete awesomeness at all times. It's only led me to	awesome truth and awesomeness. 
"naw, but I think imm check out ""the killing"" on netflix next."	What's dat Donovan show about?
lol your welcome .....and besides u not mentally ready if I did fuck u.....mfs gone	be mind blown fuck sprung
"u preaching to choir chief, I had a chevy corsica and got"	good action in it lol
just touched back down in dat SC... Tryin to find something	to get into... Any ideas?
lol ugh yea for free... Nobody payed for that album yet ...links were posted that night and flex	played it a min before
But wait I really be up like my phone be popping on something the lil 4-5 people I talk to everyday	is sleep and at work
"drake lies he 2 emo not to make new friends..its ok ill be an ear lay ur burdens in my dm box, the doors to"	the church r now open
Being GAY is the ONLY sin people focus on. Cursing? Sin. Sex before marriage? Sin. Sins are sins. Y'all too	judgmental. that's also a sin.
I am so gratful that God is speaking and I am hearing. Ministry is all in	me and I must do.
Im tired of dis shit man im gne im leaving fuk dt shit she want me gne	anyway man damn ha idgaf
"Lil wine got me feeling some type away!"" Yoooooo I'm mad the bar not open they"	"was good as shit"" yesssssss"
I just randomly held my hand up to this dudes muscle in the gym .. His shit is the	size of my hand man...
"My *** been hustling tryna make him somethin, aint no tellin what he'll do for the paper.... This song is dumb"	but i be boppin lol
I have to much for respect for Rachel Jeantel on the show. She	tells it like it is!
"Slept like a rock for 4 hours. Now, I'm wide awake. The"	life of an insomniac *smh*
being the best boy band ever and making me feel better about	myself! Love you guys! <33333
"hi Nuddy imy"" jazzzzzzyyyyy come holla at me 2mar u been MIA"""	I bee chillin I will
People like to categorize HipHop as Old School or New School. BULLSHIT!!! The categories are either	Good or Bad. Wake Up!!!!
Have you ever noticed ppl say 'that's funny' when they want to acknowledge you tried to be humorous but don't	want to say you failed
Dorian a true nigga... He been homeless twice (aka sleeping on his girl	couch) and got two girlfriends
I see you singing 90s tunes on my timeline..would you be interested in listening	to a 90s RnB mix?
I got my fit for Toma u can catch me on the beach man with a	gallon of 1800 real tlk
Bobby Brown made the room awkward for like 5 secs ..smh	...addictions really are bad lol
"I done lost alotta ppl in my life, I mite miss em from time 2 time, but"	its all in Gods plan.
Sorry but is one of the realist niggas in CHIRAQ I got everything bro dropped	waiting on this jeep music
"At work and Josh jumps up and says he has to go to the bathroom. Mr. David replies with,"	do all the right things.
"It's the first of the month, rent is due. If you don't have nothin on the table. You ain't gotta worry"	bout being a dog catcher..
After i heard that booty bandit shit in facebook i feel	in love wit his voice
"next thing u know he go back to his desk. I came over and said ""stop all dat playin in public"". He steppes"	"on my shoe, I slapped"
I'm so lost when I log on now...emojis and new lingo and shit. The world move way too	fast for Kim son now
I didn't believe HOV was coming to bham until it showed on ticketmaster. Because yesterday every city but bham	was showing. It's on there
Wish he hurry up so I can go to sleep haven't been in his arms in three days	so u kno I'm hype
"What's more impressive, a team that beats a whole bunch of cupcakes and makes it to the championship or a team that"	beats 7 top 25 teams?
"Karaoke w/Reggie Kelly Sat.; July 27th Limelight Inn; 408 Ingleside Ave. Catonsville, MD. Good food &"	"drink prices, great sound system."
Have yall ever looked at somebody and be like they funny looking but be porno sexy at the same time.	Or is that only me?!
"Find it funny tries to defend , last person he TRIED 2"	defend made him look LOL
